Datetime,Ticker,Volume,TakeProfit,StopLoss,TimeOutExit,ClosePrice
2022-03-08 09:30:00-05:00,DLTR,966796,156.2731254,143.4179123,2022-03-23 10:30:00-04:00,148.5599976
2022-03-08 09:30:00-05:00,FANG,775059,144.7343399,132.4937724,2022-03-23 10:30:00-04:00,137.3899994
2022-03-08 09:30:00-05:00,SEDG,528858,342.6291201,301.8972573,2022-03-23 10:30:00-04:00,318.1900024
2022-03-08 10:30:00-05:00,MPC,1679009,80.53541235,74.74305437,2022-03-23 11:30:00-04:00,77.05999756
2022-03-09 09:30:00-05:00,XPO,1891334,75.99830875,66.38446643,2022-03-24 10:30:00-04:00,70.23000336
2022-03-09 09:30:00-05:00,LYB,316342,103.5090151,96.51065255,2022-03-24 10:30:00-04:00,99.30999756
2022-03-09 10:30:00-05:00,CF,1606493,99.24116741,83.0058884,2022-03-24 11:30:00-04:00,89.5
2022-03-11 09:30:00-05:00,NUE,419821,141.225794,130.5827979,2022-03-26 10:30:00-04:00,134.8399963
2022-03-11 09:30:00-05:00,JKHY,187642,189.4909587,179.564367,2022-03-26 10:30:00-04:00,183.5350037
2022-03-11 09:30:00-05:00,NUE,419821,141.225794,130.5827979,2022-03-26 10:30:00-04:00,134.8399963
2022-03-11 09:30:00-05:00,NUE,419821,141.225794,130.5827979,2022-03-26 10:30:00-04:00,134.8399963
2022-03-11 09:30:00-05:00,JKHY,188414,189.4909587,179.564367,2022-03-26 10:30:00-04:00,183.5350037
